date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:51	305803/305803	---M--	200	added ('OK')	image/png	etag:%224aa8b-6568aae0-3e76d5c5cd04ddb1;;;%22	https://amoghhealthcare.fun/assets/images/offer.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/offer.png	(from https://amoghhealthcare.fun/)
12:44:52	1763091/1763091	---M--	200	added ('OK')	image/gif	etag:%221ae713-6568aadc-82402669157034ad;;;%22	https://amoghhealthcare.fun/assets/images/1.gif	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/1.gif	(from https://amoghhealthcare.fun/)
12:44:52	739061/739061	---M--	200	added ('OK')	image/png	etag:%22b46f5-6568aadf-80751796b557b0f0;;;%22	https://amoghhealthcare.fun/assets/images/girl.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/girl.png	(from https://amoghhealthcare.fun/)
12:44:52	11367/11367	---M--	200	added ('OK')	image/png	etag:%222c67-6568aae1-997ae8ece0412183;;;%22	https://amoghhealthcare.fun/assets/images/vagina.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/vagina.png	(from https://amoghhealthcare.fun/)
12:44:53	7025/7025	---M--	200	added ('OK')	image/png	etag:%221b71-6568aade-25d3003796aee4af;;;%22	https://amoghhealthcare.fun/assets/images/fire.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/fire.png	(from https://amoghhealthcare.fun/)
12:44:53	8476/8476	---M--	200	added ('OK')	image/png	etag:%22211c-6568aadc-1b05d2f21ff59ca;;;%22	https://amoghhealthcare.fun/assets/images/best-couple.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/best-couple.png	(from https://amoghhealthcare.fun/)
12:44:53	88772/88772	---M--	200	added ('OK')	image/jpeg	etag:%2215ac4-6568aae0-65061bad34773863;;;%22	https://amoghhealthcare.fun/assets/images/testimonial1.jpg	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/testimonial1.jpg	(from https://amoghhealthcare.fun/)
12:44:53	25871/25871	---M--	200	added ('OK')	image/jpeg	etag:%22650f-6568aae1-a71b125c5d2329c5;;;%22	https://amoghhealthcare.fun/assets/images/testimonial2.jpg	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/testimonial2.jpg	(from https://amoghhealthcare.fun/)
12:44:53	72021/72021	---M--	200	added ('OK')	image/jpeg	etag:%2211955-6568aae1-d0b688346b8c8e9a;;;%22	https://amoghhealthcare.fun/assets/images/testimonial3.jpg	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/testimonial3.jpg	(from https://amoghhealthcare.fun/)
12:44:54	1990880/1990880	---M--	200	added ('OK')	image/gif	etag:%221e60e0-6568aadd-7900f377b00579f2;;;%22	https://amoghhealthcare.fun/assets/images/2.gif	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/2.gif	(from https://amoghhealthcare.fun/)
12:44:54	88920/88920	---M--	200	added ('OK')	image/jpeg	etag:%2215b58-6568aae1-c4e10692e60a2cc6;;;%22	https://amoghhealthcare.fun/assets/images/testimonial4.jpg	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/testimonial4.jpg	(from https://amoghhealthcare.fun/)
